id,warehouse_id,carrier_id,dispatch_frame,weight_kg,status,unit
SHP-0001,WH-002,CR-003,45,827.5,on_time,kg
SHP-0002,WH-003,CR-003,13,2114.9,on_time,lb
SHP-0003,WH-001,CR-003,30,662.1,on_time,kg
SHP-0004,WH-001,CR-002,26,1693.6,in_transit,lb
SHP-0005,WH-002,CR-003,42,931.0,in_transit,kg
SHP-0006,WH-003,CR-002,18,686.2,on_time,kg
SHP-0007,WH-003,CR-004,42,502.5,delayed,kg
SHP-0008,WH-001,CR-002,30,611.8,on_time,kg
SHP-0009,WH-002,CR-001,33,351.9,on_time,kg
SHP-0010,WH-002,CR-004,47,826.5,in_transit,kg
SHP-0011,WH-003,CR-004,46,1738.3,delayed,lb
SHP-0012,WH-002,CR-003,30,978.3,on_time,kg
SHP-0013,WH-001,CR-004,17,391.2,on_time,kg
SHP-0014,WH-003,CR-004,25,289.5,,kg
SHP-0015,WH-001,CR-003,56,660.1,,kg
SHP-0016,WH-001,CR-001,36,1277.6,,lb
SHP-0017,WH-003,CR-003,40,165.7,on_time,kg
SHP-0018,WH-002,CR-004,56,824.7,on_time,kg
SHP-0019,WH-001,CR-001,54,606.4,,kg
SHP-0020,WH-002,CR-002,6,170.0,on_time,kg
SHP-0021,WH-001,CR-004,42,297.3,on_time,kg
SHP-0022,WH-001,CR-002,9,476.0,,kg
SHP-0023,WH-001,CR-001,47,818.5,delayed,kg
SHP-0024,WH-003,CR-003,11,661.2,in_transit,lb
