hub_id,frame,value
WH-001,0,541.6
WH-001,1,543.4
WH-001,2,535.7
WH-001,3,514.5
WH-001,4,511.1
WH-001,5,545.9
WH-001,6,595.5
WH-001,7,622.0
WH-001,8,621.8
WH-001,9,624.4
WH-001,10,643.4
WH-001,11,653.1
WH-001,12,626.0
WH-001,13,575.8
WH-001,14,541.9
WH-001,15,538.5
WH-001,16,540.0
WH-001,17,524.8
WH-001,18,510.6
WH-001,19,529.2
WH-001,20,577.9
WH-001,21,618.4
WH-001,22,627.3
WH-001,23,623.1
WH-001,24,633.5
WH-001,25,650.1
WH-001,26,639.9
WH-001,27,595.0
WH-001,28,549.0
WH-001,29,533.4
WH-001,30,538.4
WH-001,31,533.4
WH-001,32,516.4
WH-001,33,518.8
WH-001,34,558.0
WH-001,35,607.7
WH-001,36,630.8
WH-001,37,627.1
WH-001,38,627.0
WH-001,39,642.3
WH-001,40,646.4
WH-001,41,614.4
WH-001,42,563.2
WH-001,43,532.3
WH-001,44,532.8
WH-001,45,537.2
WH-001,46,280.3
WH-001,47,201.2
WH-001,48,295.1
WH-001,49,415.7
WH-001,50,628.8
WH-001,51,633.5
WH-001,52,626.1
WH-001,53,633.5
WH-001,54,645.5
WH-001,55,629.8
WH-001,56,582.2
WH-001,57,537.9
WH-001,58,526.5
WH-001,59,535.2
WH-002,0,722.6
WH-002,1,681.7
WH-002,2,632.6
WH-002,3,623.0
WH-002,4,623.0
WH-002,5,605.4
WH-002,6,585.2
WH-002,7,612.1
WH-002,8,658.4
WH-002,9,673.1
WH-002,10,674.9
WH-002,11,707.1
WH-002,12,744.9
WH-002,13,737.1
WH-002,14,702.1
WH-002,15,691.5
WH-002,16,692.2
WH-002,17,657.8
WH-002,18,607.5
WH-002,19,596.7
WH-002,20,616.5
WH-002,21,616.3
WH-002,22,604.7
WH-002,23,631.5
WH-002,24,685.3
WH-002,25,708.8
WH-002,26,702.2
WH-002,27,714.8
WH-002,28,742.1
WH-002,29,731.4
WH-002,30,684.2
WH-002,31,657.1
WH-002,32,657.1
WH-002,33,636.4
WH-002,34,593.8
WH-002,35,584.8
WH-002,36,617.6
WH-002,37,639.1
WH-002,38,636.5
WH-002,39,657.2
WH-002,40,708.9
WH-002,41,735.8
WH-002,42,719.9
WH-002,43,710.0
WH-002,44,723.3
WH-002,45,712.0
WH-002,46,660.8
WH-002,47,623.1
WH-002,48,625.0
WH-002,49,622.7
WH-002,50,595.1
WH-002,51,589.5
WH-002,52,630.4
WH-002,53,669.3
WH-002,54,673.7
WH-002,55,683.2
WH-002,56,723.6
WH-002,57,748.5
WH-002,58,724.5
WH-002,59,693.6
WH-003,0,624.6
WH-003,1,659.6
WH-003,2,663.5
WH-003,3,653.5
WH-003,4,652.9
WH-003,5,658.8
WH-003,6,646.8
WH-003,7,605.7
WH-003,8,557.2
WH-003,9,534.2
WH-003,10,544.4
WH-003,11,564.6
WH-003,12,572.7
WH-003,13,575.3
WH-003,14,596.0
WH-003,15,639.3
WH-003,16,678.9
WH-003,17,685.6
WH-003,18,660.4
WH-003,19,631.6
WH-003,20,618.9
WH-003,21,611.6
WH-003,22,587.8
WH-003,23,548.8
WH-003,24,523.4
WH-003,25,534.8
WH-003,26,573.0
WH-003,27,606.4
WH-003,28,619.1
WH-003,29,626.2
WH-003,30,647.7
WH-003,31,677.2
WH-003,32,685.8
WH-003,33,657.5
WH-003,34,610.9
WH-003,35,578.6
WH-003,36,570.9
WH-003,37,568.7
WH-003,38,553.7
WH-003,39,536.5
WH-003,40,544.4
WH-003,41,585.5
WH-003,42,634.3
WH-003,43,659.3
WH-003,44,657.3
WH-003,45,406.7
WH-003,46,343.1
WH-003,47,417.8
WH-003,48,466.2
WH-003,49,593.5
WH-003,50,593.5
WH-003,51,537.5
WH-003,52,551.9
WH-003,53,566.4
WH-003,54,568.0
WH-003,55,573.5
WH-003,56,603.6
WH-003,57,650.9
WH-003,58,683.2
WH-003,59,679.2
